scenario,confluence,name,netcdf_name,id,parametertype,dimensions,valueencoding,codeset,unitofmeasure,fillvalue,displayname,precision,visible,parameterfunctionid,parameterfunctionmap,qcfunctions,standardname,dataproductidentifier,description,longname,dataproducttype,datalevel
TO-DO,OPTAA,pressure_counts,pressure_counts,PD587,quantity,,uint16,,counts,65535,Pressure,0,,,,,,,Raw A/D counts from the pressure sensor,,,
TO-DO,OPTAA,a_signal_dark_counts,a_signal_dark_counts,PD588,quantity,,uint16,,counts,65535,Absorption Dark Signal,0,,,,,,,"A-signal reference dark counts, used for diagnostic purposes",,,
TO-DO,OPTAA,external_temp_raw,external_temp_raw,PD589,quantity,,uint16,,counts,65535,Raw External Temperature,0,,,,,,,Temperature external to the instrument measured in counts,,,
TO-DO,OPTAA,internal_temp_raw,internal_temp_raw,PD590,quantity,,uint16,,counts,65535,Internal Instrument Temperature Measurement,0,,,,OPTTEMP,,OPTTEMP_L0,Internal Instrument Temperature of the Absorption Spectrophotometer. These data are used in the calculation of the optical absorption coefficient as changes in instrument internal temperature may alter absorption properties of the seawater.,Internal Instrument Temperature Measurement,,L0
TO-DO,OPTAA,c_reference_dark_counts,c_reference_dark_counts,PD591,quantity,,uint16,,counts,65535,Attenuation Dark Reference,0,,,,,,,"C-channel reference dark counts, used for diagnostic purposes",,,
TO-DO,OPTAA,c_signal_dark_counts,c_signal_dark_counts,PD592,quantity,,uint16,,counts,65535,Attenuation Dark Signal,0,,,,,,,"C-signal reference dark counts, used for diagnostic purposes",,,
TO-DO,OPTAA,elapsed_run_time,elapsed_run_time,PD593,quantity,,uint32,,ms,0,Elapsed Run Time,0,,,,,,,Time is milliseconds since instrument was powered up,,,
TO-DO,OPTAA,num_wavelengths,num_wavelengths,PD594,quantity,,uint8,,1,0,Number of Wavelengths,0,,,,,,,Number of output wavelengths,,,
TO-DO,OPTAA,c_reference_counts,c_reference_counts,PD595,array<quantity>,"[""wavelength""]",uint16,,counts,65535,Reference Beam Attenuation,0,,,,OPTCREF,,OPTCREF_L0,"Array of raw c-channel reference counts, used to compute the Optical Beam Attenuation Coefficient data product.",,Unprocessed Data,L0
TO-DO,OPTAA,a_reference_counts,a_reference_counts,PD596,array<quantity>,"[""wavelength""]",uint16,,counts,65535,Reference Absorption,0,,,,OPTAREF,,OPTAREF_L0,"Array of raw a-channel reference counts, used to compute the Optical Absorption Coefficient data product.",,Unprocessed Data,L0
TO-DO,OPTAA,c_signal_counts,c_signal_counts,PD597,array<quantity>,"[""wavelength""]",uint16,,counts,65535,Signal Beam Attenuation,0,,,,OPTCSIG,,OPTCSIG_L0,Array of raw c-channel signal counts. This is the uncorrected beam attenuation measurement.,,Unprocessed Data,L0
TO-DO,OPTAA,a_signal_counts,a_signal_counts,PD598,array<quantity>,"[""wavelength""]",uint16,,counts,65535,Signal Absorption,0,,,,OPTASIG,,OPTASIG_L0,Array of raw a-channel signal counts. This is the uncorrected absorption measurement.,,Unprocessed Data,L0
TO-DO,OPTAA,persistor_cf_serial_number,persistor_cf_serial_number,PD600,quantity,,string,,1,empty,"Persistor, CF Card Serial Number",0,,,,,,,Persistor Compact Flash card serial number,,,
TO-DO,OPTAA,persistor_cf_bios_version,persistor_cf_bios_version,PD601,quantity,,string,,1,-9999999,"Persistor, Bios Version",0,,,,,,,Persistor CF card installed BIOS version,,,
TO-DO,OPTAA,persistor_cf_picodos_version,persistor_cf_picodos_version,PD602,quantity,,string,,1,-9999999,"Persistor, Picodos Version",0,,,,,,,Persistor CF card installed PicoDOS version,,,
TO-DO,TMPSF,tmpsf_cal_coeffs,tmpsf_cal_coeffs,PD604,array<quantity>,,float64,,degrees_Celsius,-9999999,Seawater Temperature Array in Spatial Grid,default,,,,,sea_water_temperature,,Seawater Temperature Array in Spatial Grid refers to the array of temperature measurements made by 24 thermistors positioned in a spatial array.,Seawater Temperature Array in Spatial Grid,,
TO-DO,ADCP-PD0,header_id,header_id,PD605,quantity,,uint8,,1,255,Header ID,0,,,,,,,"Stores the header identification byte (""7F"")",,,
TO-DO,ADCP-PD0,data_source_id,data_source_id,PD606,quantity,,uint8,,1,255,Data Source ID,0,,,,,,,"Stores the data source ID. Always ""7F"" for the Workhorse ADCP",,,
TO-DO,ADCP-PD0,num_bytes,num_bytes,PD607,quantity,,uint16,,1,65535,Number of Bytes,0,,,,,,,"Number of bytes in current ensemble up to, but not including, the 2 byte checksum.",,,
TO-DO,ADCP-PD0,num_data_types,num_data_types,PD608,quantity,,uint16,,1,65535,Number of Data Types,0,,,,,,,Number of data types selected for collection.,,,
TO-DO,ADCP-PD0,offset_data_types,offset_data_types,PD609,array<quantity>,,uint16,,1,65535,Offset Data Types,0,,,,,,,Internal memory address where the Workhorse ADCP stores the information for a data type. Adding 1 to this number gives the absolute binary byte number in the ensemble where the data type begins.,,,
TO-DO,ADCP-PD0,fixed_leader_id,fixed_leader_id,PD610,quantity,,uint16,,1,65535,Fixed Leader ID,0,,,,,,,"Fixed leader ID (""00 00"")",,,
TO-DO,ADCP-PD0,firmware_version,firmware_version,PD611,quantity,,uint8,,1,255,Firmware Version,0,,,,,,,Version number of current CPU firmware,,,
TO-DO,ADCP-PD0,firmware_revision,firmware_revision,PD612,quantity,,uint8,,1,255,Firmware Revision,0,,,,,,,Revision number of current CPU firmware,,,
TO-DO,ADCP-PD0,sysconfig_frequency,sysconfig_frequency,PD613,quantity,,uint16,,kHz,65535,Sysconfig Frequency,0,,,,,,,Workhorse transducer frequency,,,
TO-DO,ADCP-PD0,sysconfig_beam_pattern,sysconfig_beam_pattern,PD614,category<int8:str>,,int8,"{0:""Concave"",1:""Convex"",-99:""empty""}",1,-99,Sysconfig Beam Pattern,0,,,,,,,Transducer head beam pattern,,,
TO-DO,ADCP-PD0,sysconfig_sensor_config,sysconfig_sensor_config,PD615,quantity,,uint8,,1,255,Sysconfig Sensor Config,0,,,,,,,"Sensor configuration number (1, 2 or 3)",,,
TO-DO,ADCP-PD0,sysconfig_head_attached,sysconfig_head_attached,PD616,boolean,,int8,,1,-99,Sysconfig Head Attached,0,,,,,,,Whether transducer head is attached,,,
TO-DO,ADCP-PD0,sysconfig_vertical_orientation,sysconfig_vertical_orientation,PD617,category<int8:str>,,int8,"{0:""Downward"",1:""Upward"",-99:""empty""}",1,-99,Sysconfig Vertical Orientation,0,,,,,,,Whether vertical orientation is upward or downward,,,
TO-DO,ADCP-PD0,data_flag,data_flag,PD618,quantity,,uint8,,1,255,Real/Simulated Data Flag,0,,,,,,,PD (Data Stream Select) Real or Simulated data flag. Always set to real data (0) by default,,,
TO-DO,ADCP-PD0,lag_length,lag_length,PD619,quantity,,uint8,,s,255,Lag Length,0,,,,,,,Time between sound pulses.,,,
TO-DO,ADCP-PD0,num_beams,num_beams,PD620,quantity,,uint8,,1,0,Number Beams,0,,,,,,,Number of beams used to calculate velocity data,,,
TO-DO,ADCP-PD0,num_cells,num_cells,PD621,quantity,,uint8,,1,0,Number Cells,0,,,,,,,Contains the number of cells over which the ADCP collects data,,,
TO-DO,ADCP-PD0,pings_per_ensemble,pings_per_ensemble,PD622,quantity,,uint16,,1,0,Pings Per Ensemble,0,,,,,,,Contains the number of pings averaged together during a data ensemble,,,
TO-DO,ADCP-PD0,cell_length,cell_length,PD623,quantity,,uint16,,cm,0,Cell Length,0,,,,,,,Contains the depth of one cell length,,,
TO-DO,ADCP-PD0,blank_after_transmit,blank_after_transmit,PD624,quantity,,uint16,,cm,0,Blank After Transmit Distance,0,,,,,,,Contains the blanking distance used by the Workhorse ADCP to allow the transmit circuits time to recover before receive cycle begins,,,
TO-DO,ADCP-PD0,signal_processing_mode,signal_processing_mode,PD625,quantity,,uint8,,1,255,Signal Processing Mode,0,,,,,,,Signal Processing Mode. Always set to 1,,,
TO-DO,ADCP-PD0,low_corr_threshold,low_corr_threshold,PD626,quantity,,uint8,,counts,0,Low Correlation Threshold,0,,,,,,,Contains minimum threshold of correlation that water-profile data can have to be considered good.,,,
TO-DO,ADCP-PD0,num_code_repetitions,num_code_repetitions,PD627,quantity,,uint8,,counts,0,Number of Code Repetitions,0,,,,,,,Number of code repetitions in the transmit pulse,,,
TO-DO,ADCP-PD0,percent_good_min,percent_good_min,PD628,quantity,,uint8,,percent,255,Percent Good Minimum,0,,,,,,,Minimum percentage of water profiling pings in an ensemble that must be good to output velocity data.,,,
TO-DO,ADCP-PD0,error_vel_threshold,error_vel_threshold,PD629,quantity,,uint16,,mm s-1,65535,Error Velocity Threshold,0,,,,,,,Threshold value used to flag water-current data as good or bad.,,,
TO-DO,ADCP-PD0,time_per_ping_minutes,time_per_ping_minutes,PD630,quantity,,uint8,,min,255,Time Per Ping,0,,,,,,,"Contains the amount of time, in minutes, between pings in an ensemble.",,,
TO-DO,ADCP-PD0,time_per_ping_seconds,time_per_ping_seconds,PD631,quantity,,float32,,s,-9999999,Time Per Ping,,,,,,,,"Contains the amount of time, in seconds, between pings in an ensemble.",,,
TO-DO,ADCP-PD0,coord_transform_type,coord_transform_type,PD632,quantity,,uint8,,1,255,Coordinate Transform Type,0,,,,,,,"Coordinate Transformation type: 0 = None (Beam), 1 = Instrument, 2 = Ship, 3 = Earth.",,,
TO-DO,ADCP-PD0,coord_transform_tilts,coord_transform_tilts,PD633,boolean,,int8,,1,-99,Coordinate Transform Tilts,0,,,,,,,Whether tilts used in Earth or Ship coordinated transformations,,,
TO-DO,ADCP-PD0,coord_transform_beams,coord_transform_beams,PD634,boolean,,int8,,1,-99,Coord Transform Beams,0,,,,,,,Was 3-beam solution used if 1 beam is below correlation threshold,,,
TO-DO,ADCP-PD0,coord_transform_mapping,coord_transform_mapping,PD635,boolean,,int8,,1,-99,Coord Transform Mapping,0,,,,,,,Bin mapping used with tilts and coordinate transformations,,,
TO-DO,ADCP-PD0,heading_alignment,heading_alignment,PD636,quantity,,int16,,cdegrees,-9999,Heading Alignment,0,,,,,,,Correction factor for physical heading misalignment,,,
TO-DO,ADCP-PD0,heading_bias,heading_bias,PD637,quantity,,int16,,cdegrees,-9999,Heading Bias,0,,,,,,,Correction factor for electrical/magnetic heading bias (e.g. Magnetic declination).,,,
TO-DO,ADCP-PD0,sensor_source_speed,sensor_source_speed,PD638,boolean,,int8,,1,-99,Sensor Source Speed,0,,,,,,,"Whether speed of sound was calculated from depth, salinity and temperature?",,,
TO-DO,ADCP-PD0,sensor_source_depth,sensor_source_depth,PD639,boolean,,int8,,1,-99,Sensor Source Depth,0,,,,,,,Uses ED from depth sensor?,,,
TO-DO,ADCP-PD0,sensor_source_heading,sensor_source_heading,PD640,boolean,,int8,,1,-99,Sensor Source Heading,0,,,,,,,Uses EH from transducer heading?,,,
TO-DO,ADCP-PD0,sensor_source_pitch,sensor_source_pitch,PD641,boolean,,int8,,1,-99,Sensor Source Pitch,0,,,,,,,Uses EP from transducer pitch sensor,,,
TO-DO,ADCP-PD0,sensor_source_roll,sensor_source_roll,PD642,boolean,,int8,,1,-99,Sensor Source Roll,0,,,,,,,Uses ER from transducer roll sensor,,,
TO-DO,ADCP-PD0,sensor_source_conductivity,sensor_source_conductivity,PD643,boolean,,int8,,1,-99,Sensor Source Conductivity,0,,,,,,,Uses ES (salinity) calculated from external conductivity sensor?,,,
TO-DO,ADCP-PD0,sensor_source_temperature,sensor_source_temperature,PD644,boolean,,int8,,1,-99,Sensor Source Temperature,0,,,,,,,Uses ET from transducer temperature sensor?,,,
TO-DO,ADCP-PD0,sensor_available_depth,sensor_available_depth,PD645,boolean,,int8,,1,-99,Sensor Available Depth,0,,,,,,,Is depth sensor installed,,,
TO-DO,ADCP-PD0,sensor_available_heading,sensor_available_heading,PD646,boolean,,int8,,1,-99,Sensor Available Heading,0,,,,,,,Is heading sensor installed,,,
TO-DO,ADCP-PD0,sensor_available_pitch,sensor_available_pitch,PD647,boolean,,int8,,1,-99,Sensor Available Pitch,0,,,,,,,Is pitch sensor installed,,,
TO-DO,ADCP-PD0,sensor_available_roll,sensor_available_roll,PD648,boolean,,int8,,1,-99,Sensor Available Roll,0,,,,,,,Is roll sensor installed,,,
TO-DO,ADCP-PD0,sensor_available_conductivity,sensor_available_conductivity,PD649,boolean,,int8,,1,-99,Sensor Available Conductivity,0,,,,,,,Is conductivity sensor installed,,,
TO-DO,ADCP-PD0,sensor_available_temperature,sensor_available_temperature,PD650,boolean,,int8,,1,-99,Sensor Available Temperature,0,,,,,,,Is temperature sensor installed,,,
TO-DO,ADCP-PD0,bin_1_distance,bin_1_distance,PD651,quantity,,uint16,,cm,65535,Bin 1 Distance,0,,,,,,,Distance to middle of first depth cell (bin 1).,,,
TO-DO,ADCP-PD0,transmit_pulse_length,transmit_pulse_length,PD652,quantity,,uint16,,cm,65535,Transmit Pulse Length,0,,,,,,,Length of transmit pulse,,,
TO-DO,ADCP-PD0,reference_layer_start,reference_layer_start,PD653,quantity,,uint8,,1,255,Reference Layer Start,0,,,,,,,Starting depth cell used for water reference layer,,,
TO-DO,ADCP-PD0,reference_layer_stop,reference_layer_stop,PD654,quantity,,uint8,,1,255,Reference Layer Stop,0,,,,,,,Ending depth cell used for water reference layer,,,
TO-DO,ADCP-PD0,false_target_threshold,false_target_threshold,PD655,quantity,,uint8,,counts,255,False Target Threshold,0,,,,,,,"Threshold value used to reject data received from false targets, usually fish. 255 disables.",,,
TO-DO,ADCP-PD0,low_latency_trigger,low_latency_trigger,PD656,boolean,,int8,,1,-99,Low Latency Trigger,0,,,,,,,Whether to enable low latency trigger. Default is 0 (not enabled),,,
TO-DO,ADCP-PD0,transmit_lag_distance,transmit_lag_distance,PD657,quantity,,uint16,,cm,65535,Transmit Lag Distance,0,,,,,,,Distance between pulse repetitions,,,
TO-DO,ADCP-PD0,cpu_board_serial_number,cpu_board_serial_number,PD658,quantity,,string,,1,empty,CPU Board Serial Number,0,,,,,,,Serial number of the CPU board,,,
TO-DO,ADCP-PD0,system_bandwidth,system_bandwidth,PD659,quantity,,uint8,,1,0,System Bandwidth,0,,,,,,,Sets profiling mode bandwidth (sampling) rate from wide (0) to narrow (1). Default is 0,,,
TO-DO,ADCP-PD0,system_power,system_power,PD660,quantity,,uint16,,1,0,System Power,0,,,,,,,Allows transmit power to be set low (1) to high (255),,,
TO-DO,ADCP-PD0,beam_angle,beam_angle,PD662,quantity,,uint8,,degrees,255,Beam Angle,0,,,,,,,Transducer head beam angle,,,
TO-DO,ADCP-PD0,variable_leader_id,variable_leader_id,PD663,quantity,,uint16,,1,65535,Variable Leader ID,0,,,,,,,Variable leader packet id,,,
TO-DO,ADCP-PD0,ensemble_number,ensemble_number,PD664,quantity,,uint16,,1,65535,Ensemble Number,0,,,,,,,Sequential number of the ensemble to which the data applies,,,
TO-DO,ADCP-PD0,ensemble_number_increment,ensemble_number_increment,PD666,quantity,,uint8,,1,255,Ensemble Number Increment,0,,,,,,,Field increments each time the ensemble number rolls over at 65535.,,,
TO-DO,ADCP-PD0,bit_result_demod_1,bit_result_demod_1,PD667,boolean,,int8,,1,-99,"BIT Result, Demod 1",0,,,,,,,"Built-in Test (BIT) functions, DEMOD 1 error",,,
TO-DO,ADCP-PD0,bit_result_demod_0,bit_result_demod_0,PD668,boolean,,int8,,1,-99,"BIT Result, Demod 0",0,,,,,,,"Built-in Test (BIT) functions, DEMOD 0 error",,,
TO-DO,ADCP-PD0,bit_result_timing,bit_result_timing,PD669,boolean,,int8,,1,-99,"BIT Result, Timing",0,,,,,,,"Built-in Test (BIT) functions, timing card error",,,
TO-DO,ADCP-PD0,speed_of_sound,speed_of_sound,PD670,quantity,,uint16,,m s-1,65535,Speed of Sound,0,,,,,,,Contains either manual or calculated speed of sound,,,
TO-DO,ADCP-PD0,transducer_depth,transducer_depth,PD671,quantity,,uint16,,dm,65535,Transducer Depth,0,,,,,,,Contains either the manual or measured depth of transducer below the water surface.,,,
TO-DO,ADCP-PD0,heading,heading,PD672,quantity,,uint16,,degrees,65535,Heading,0,,,,,,,Contains either the manual or measured heading of the ADCP.,,,
TO-DO,ADCP-PD0,pitch,pitch,PD673,quantity,,int16,,degrees,-9999,Pitch,0,,,,,,,Contains either the manual or measured pitch of the ADCP.,,,
TO-DO,ADCP-PD0,roll,roll,PD674,quantity,,int16,,degrees,-9999,Roll,0,,,,,,,Contains either the manual or measured roll of the ADCP.,,,
TO-DO,ADCP-PD0,salinity,salinity,PD675,quantity,,uint16,,1,65535,Transducer Salinity,0,,,,,,,Contains either the manual or measured (calculated from external conductivity sensor) salinity at the transducer face.,,,
TO-DO,ADCP-PD0,temperature,temperature,PD676,quantity,,int16,,cdeg_C,-9999,Transducer Temperature,0,,,,,,,Contains either the manual or measured temperature at the transducer face.,,,
TO-DO,ADCP-PD0,mpt_minutes,mpt_minutes,PD677,quantity,,uint8,,min,255,MPT Minutes,0,,,,,,,Minimum pre-ping wait time (MPT) between ping groups in the ensemble in minutes,,,
TO-DO,ADCP-PD0,mpt_seconds,mpt_seconds,PD678,quantity,,float32,,s,-9999999,MPT Seconds,6,,,,,,,Minimum pre-ping wait time (MPT) between ping groups in the ensemble in seconds,,,
TO-DO,ADCP-PD0,heading_stdev,heading_stdev,PD679,quantity,,uint8,,degrees,255,Heading Standard Deviation,0,,,,,,,Standard deviation of the heading,,,
TO-DO,ADCP-PD0,pitch_stdev,pitch_stdev,PD680,quantity,,uint8,,ddegrees,255,Pitch Standard Deviation,0,,,,,,,Standard deviation of the pitch,,,
TO-DO,ADCP-PD0,roll_stdev,roll_stdev,PD681,quantity,,uint8,,ddegrees,255,Roll Standard Deviation,0,,,,,,,Standard deviation of the roll,,,
TO-DO,ADCP-PD0,adc_transmit_current,adc_transmit_current,PD682,quantity,,uint8,,counts,255,ADC Transmit Current,0,,,,,,,Contains outputs of the A/D converter located on DSP board. Measures the transmit current.,,,
TO-DO,ADCP-PD0,adc_transmit_voltage,adc_transmit_voltage,PD683,quantity,,uint8,,counts,255,ADC Transmit Voltage,0,,,,,,,Contains outputs of the A/D converter located on DSP board. Measures the transmit voltage.,,,
TO-DO,ADCP-PD0,adc_ambient_temp,adc_ambient_temp,PD684,quantity,,uint8,,counts,255,ADC Ambient Temperature,0,,,,,,,Contains outputs of the A/D converter located on DSP board. Measures the ambient temperature.,,,
TO-DO,ADCP-PD0,adc_pressure_plus,adc_pressure_plus,PD685,quantity,,uint16,,counts,255,ADC Pressure Plus,0,,,,,,,Contains outputs of the A/D converter located on DSP board. Measures the pressure+.,,,
TO-DO,ADCP-PD0,adc_pressure_minus,adc_pressure_minus,PD686,quantity,,uint16,,counts,255,ADC Pressure Minus,0,,,,,,,Contains outputs of the A/D converter located on DSP board. Measures the pressure-.,,,
TO-DO,ADCP-PD0,adc_attitude_temp,adc_attitude_temp,PD687,quantity,,uint8,,counts,255,ADC Attitude Temperature,0,,,,,,,Contains outputs of the A/D converter located on DSP board. Measures the attitude temperature.,,,
TO-DO,ADCP-PD0,adc_attitude,adc_attitude,PD688,quantity,,uint8,,counts,255,ADC Attitiude,0,,,,,,,Contains outputs of the A/D converter located on DSP board. Measures the attitude.,,,
TO-DO,ADCP-PD0,adc_contamination_sensor,adc_contamination_sensor,PD689,quantity,,uint8,,counts,255,ADC Contamination Sensor,0,,,,,,,Contains outputs of the A/D converter located on DSP board. Measures the contamination sensor.,,,
TO-DO,ADCP-PD0,bus_error_exception,bus_error_exception,PD690,boolean,,int8,,1,-99,Bus Error Exception,0,,,,,,,"number error status words of this type, reset to 0 between each ensemble.",,,
TO-DO,ADCP-PD0,address_error_exception,address_error_exception,PD691,boolean,,int8,,1,-99,Address Error Exception,0,,,,,,,"number error status words of this type, reset to 0 between each ensemble.",,,
TO-DO,ADCP-PD0,illegal_instruction_exception,illegal_instruction_exception,PD692,boolean,,int8,,1,-99,Illegal Instruction Exception,0,,,,,,,"number error status words of this type, reset to 0 between each ensemble.",,,
TO-DO,ADCP-PD0,zero_divide_instruction,zero_divide_instruction,PD693,boolean,,int8,,1,-99,Zero Divide Instruction,0,,,,,,,"number error status words of this type, reset to 0 between each ensemble.",,,
TO-DO,ADCP-PD0,emulator_exception,emulator_exception,PD694,boolean,,int8,,1,-99,Emulator Exception,0,,,,,,,"number error status words of this type, reset to 0 between each ensemble.",,,
TO-DO,ADCP-PD0,unassigned_exception,unassigned_exception,PD695,boolean,,int8,,1,-99,Unassigned Exception,0,,,,,,,"number error status words of this type, reset to 0 between each ensemble.",,,
TO-DO,ADCP-PD0,watchdog_restart_occurred,watchdog_restart_occurred,PD696,boolean,,int8,,1,-99,Watchdog Restart Occurred,0,,,,,,,"number error status words of this type, reset to 0 between each ensemble.",,,
TO-DO,ADCP-PD0,battery_saver_power,battery_saver_power,PD697,boolean,,int8,,1,-99,Battery Saver Power,0,,,,,,,"number error status words of this type, reset to 0 between each ensemble.",,,
TO-DO,ADCP-PD0,pinging,pinging,PD698,boolean,,int8,,1,-99,Pinging,0,,,,,,,"number error status words of this type, reset to 0 between each ensemble.",,,
TO-DO,ADCP-PD0,cold_wakeup_occurred,cold_wakeup_occurred,PD699,boolean,,int8,,1,-99,Cold Wakeup Occurred,0,,,,,,,"number error status words of this type, reset to 0 between each ensemble.",,,
TO-DO,ADCP-PD0,unknown_wakeup_occurred,unknown_wakeup_occurred,PD700,boolean,,int8,,1,-99,Unknown Wakeup Occurred,0,,,,,,,"number error status words of this type, reset to 0 between each ensemble.",,,
TO-DO,ADCP-PD0,clock_read_error,clock_read_error,PD701,boolean,,int8,,1,-99,Clock Read Error,0,,,,,,,"number error status words of this type, reset to 0 between each ensemble.",,,
TO-DO,ADCP-PD0,unexpected_alarm,unexpected_alarm,PD702,boolean,,int8,,1,-99,Unexpected Alarm,0,,,,,,,"number error status words of this type, reset to 0 between each ensemble.",,,
TO-DO,ADCP-PD0,clock_jump_forward,clock_jump_forward,PD703,boolean,,int8,,1,-99,Clock Jump Forward,0,,,,,,,"number error status words of this type, reset to 0 between each ensemble.",,,
TO-DO,ADCP-PD0,clock_jump_backward,clock_jump_backward,PD704,boolean,,int8,,1,-99,Clock Jump Backward,0,,,,,,,"number error status words of this type, reset to 0 between each ensemble.",,,
TO-DO,ADCP-PD0,power_fail,power_fail,PD705,boolean,,int8,,1,-99,Power Fail,0,,,,,,,"number error status words of this type, reset to 0 between each ensemble.",,,
TO-DO,ADCP-PD0,spurious_dsp_interrupt,spurious_dsp_interrupt,PD706,boolean,,int8,,1,-99,Spurious DSP Interrupt,0,,,,,,,"number error status words of this type, reset to 0 between each ensemble.",,,
TO-DO,ADCP-PD0,spurious_uart_interrupt,spurious_uart_interrupt,PD707,boolean,,int8,,1,-99,Spurious UART Interrupt,0,,,,,,,"number error status words of this type, reset to 0 between each ensemble.",,,
TO-DO,ADCP-PD0,spurious_clock_interrupt,spurious_clock_interrupt,PD708,boolean,,int8,,1,-99,Spurious Clock Interrupt,0,,,,,,,"number error status words of this type, reset to 0 between each ensemble.",,,
TO-DO,ADCP-PD0,level_7_interrupt,level_7_interrupt,PD709,boolean,,int8,,1,-99,Level 7 Interrupt,0,,,,,,,"number error status words of this type, reset to 0 between each ensemble.",,,
TO-DO,ADCP-PD0,pressure,pressure,PD710,quantity,,uint32,,daPa,0,Pressure,0,,,,,,,ADCP pressure sensor value measured in decaPascals,,,
TO-DO,ADCP-PD0,pressure_variance,pressure_variance,PD711,quantity,,uint32,,daPa,0,Pressure Variance,0,,,,,,,ADCP pressure sensor variance,,,
TO-DO,ADCP-PD0,velocity_data_id,velocity_data_id,PD713,quantity,,uint16,,1,65535,Velocity Data ID,0,,,,,,,"Velocity data packet ID (""00 01"")",,,
TO-DO,ADCP-PD0,water_velocity_east,water_velocity_east,PD714,array<quantity>,"[""bin""]",int16,,mm s-1,-32768,Eastward Seawater Velocity,0,,,,VELPROF-VLE,eastward_sea_water_velocity,VELPROF-VLE_L0,A Velocity Profile includes water velocity (speed & direction) throughout the depth range of an ADCP sensor. This instance is the eastward seawater velocity component.,Eastward Seawater Velocity Profile,Unprocessed Data,L0
TO-DO,ADCP-PD0,water_velocity_north,water_velocity_north,PD715,array<quantity>,"[""bin""]",int16,,mm s-1,-32768,Northward Seawater Velocity,0,,,,VELPROF-VLN,northward_sea_water_velocity,VELPROF-VLN_L0,A Velocity Profile includes water velocity (speed & direction) throughout the depth range of an ADCP sensor. This instance is the northward seawater velocity component.,Northward Seawater Velocity Profile,Unprocessed Data,L0
TO-DO,ADCP-PD0,water_velocity_up,water_velocity_up,PD716,array<quantity>,"[""bin""]",int16,,mm s-1,-32768,Upward Seawater Velocity,0,,,,VELPROF-VLU,upward_sea_water_velocity,VELPROF-VLU_L0,A Velocity Profile includes water velocity (speed & direction) throughout the depth range of an ADCP sensor. This instance is the upward seawater velocity component.,Upward Seawater Velocity Profile,Unprocessed Data,L0
TO-DO,ADCP-PD0,error_velocity,error_velocity,PD717,array<quantity>,"[""bin""]",int16,,mm s-1,-32768,Error Seawater Velocity,0,,,,VELPROF-EVL,,VELPROF-EVL_L0,A Velocity Profile includes water velocity (speed & direction) throughout the depth range of an ADCP sensor. This instance is the error seawater velocity component.,Error Seawater Velocity Profile,Unprocessed Data,L0
TO-DO,ADCP-PD0,correlation_magnitude_id,correlation_magnitude_id,PD718,quantity,,uint16,,1,65535,Correlation Magnitude ID,0,,,,,,,"Correlation magnitude packet ID (""00 02"")",,,
TO-DO,ADCP-PD0,correlation_magnitude_beam1,correlation_magnitude_beam1,PD719,array<quantity>,"[""bin""]",uint8,,1,0,Correlation Magnitude Beam1,0,,,,,,,Magnitude of the normalized echo auto-correlation at the lag used for estimating the Doppler phase change. 0 represents bad correlation and 255 represents perfect correlation.,,,
TO-DO,ADCP-PD0,correlation_magnitude_beam2,correlation_magnitude_beam2,PD720,array<quantity>,"[""bin""]",uint8,,1,0,Correlation Magnitude Beam2,0,,,,,,,Magnitude of the normalized echo auto-correlation at the lag used for estimating the Doppler phase change. 0 represents bad correlation and 255 represents perfect correlation.,,,
TO-DO,ADCP-PD0,correlation_magnitude_beam3,correlation_magnitude_beam3,PD721,array<quantity>,"[""bin""]",uint8,,1,0,Correlation Magnitude Beam3,0,,,,,,,Magnitude of the normalized echo auto-correlation at the lag used for estimating the Doppler phase change. 0 represents bad correlation and 255 represents perfect correlation.,,,
TO-DO,ADCP-PD0,correlation_magnitude_beam4,correlation_magnitude_beam4,PD722,array<quantity>,"[""bin""]",uint8,,1,0,Correlation Magnitude Beam4,0,,,,,,,Magnitude of the normalized echo auto-correlation at the lag used for estimating the Doppler phase change. 0 represents bad correlation and 255 represents perfect correlation.,,,
TO-DO,ADCP-PD0,echo_intensity_id,echo_intensity_id,PD723,quantity,,uint16,,1,65535,Echo Intensity ID,0,,,,,,,"Echo intensity packet ID (""00 03"")",,,
TO-DO,ADCP-PD0,echo_intensity_beam1,echo_intensity_beam1,PD724,array<quantity>,"[""bin""]",uint8,,counts,0,Echo Intensity Beam 1 Measurement,0,,,,,,ECHOINT-B1_L0,Echo Intensity Measurement is the accoustic return signal that is output directly from the ADCP. This is used to calculate the echo intensity data product.,Echo Intensity Beam 1 Measurement,Unprocessed Data,L0
TO-DO,ADCP-PD0,echo_intensity_beam2,echo_intensity_beam2,PD725,array<quantity>,"[""bin""]",uint8,,counts,0,Echo Intensity Beam 2 Measurement,0,,,,,,ECHOINT-B2_L0,Echo Intensity Measurement is the accoustic return signal that is output directly from the ADCP. This is used to calculate the echo intensity data product.,Echo Intensity Beam 2 Measurement,Unprocessed Data,L0
TO-DO,ADCP-PD0,echo_intensity_beam3,echo_intensity_beam3,PD726,array<quantity>,"[""bin""]",uint8,,counts,0,Echo Intensity Beam 3 Measurement,0,,,,,,ECHOINT-B3_L0,Echo Intensity Measurement is the accoustic return signal that is output directly from the ADCP. This is used to calculate the echo intensity data product.,Echo Intensity Beam 3 Measurement,Unprocessed Data,L0
